DOI,Title,Type
10.1158/1538-7445.am2023-4127,"Abstract 4127: ANV600 is a potent, C<i>is</i>-signaling, non-alpha IL-2 agonist which efficiently expands intratumoral stem-like CD8 T cells",journal-article
10.1158/1538-7445.am2023-363,Abstract 363: Modelling cancer cachexia using a comprehensive panel of heterogeneous esophageal squamous cell carcinoma xenografts for therapeutic application,journal-article
10.1158/1538-7445.am2023-639,Abstract 639: Prevention of pancreatitis and subsequent pancreatic cancer and fibrosis development by PI3Kγ inhibition,journal-article
10.1158/1538-7445.am2023-876,Abstract 876: Sequencing a new broadly-consented tumor/normal cell line for a Genome in a Bottle Benchmark,journal-article
10.1158/1538-7445.am2023-6377,Abstract 6377: A translatable tumor-killing platform with robust sensitivity towards immune checkpoint inhibitor targeted therapeutics,journal-article
10.1158/1538-7445.am2023-4499,Abstract 4499: The peptide-drug conjugate sudocetaxel zendusortide (TH1902) potentiates anti-tumoral activity of the anti-PD-L1 checkpoint inhibitor and induces immune cell infiltration in a B16-F10 syngeneic melanoma model,journal-article
10.1158/1538-7445.am2023-66,Abstract 66: Galectin-1 mediated chronic tumoral-STING activation promotes metastasisthrough MDSC recruitment,journal-article
10.1158/1538-7445.am2023-5138,Abstract 5138: Systemic agonist anti-CD40 treatment delivers precise melanoma immunotherapy within established autoimmune landscapes,journal-article
10.1158/1538-7445.am2023-5762,Abstract 5762: New perspective on racial disparities in prostate cancer: identification of new molecular subsets using whole-mount radical prostatectomy,journal-article
10.1158/1538-7445.am2023-127,Abstract 127: Single-cell methylation sequencing data reveals succinct metastatic migration histories and tumor progression models,journal-article
10.1158/1538-7445.am2023-5335,Abstract 5335: circAde: a circRNA-based system for prolonged and more effective treatment of cancer,journal-article
10.1158/1538-7445.am2023-1314,Abstract 1314: Molecular contribution of Annexin A2 in triple negative breast cancer metastasis via tumor-derived extracellular vesicles,journal-article
10.1158/1538-7445.am2023-1364,Abstract 1364: Profiling tumor microenvironment for therapeutic intervention to soft-tissue sarcomas,journal-article
10.1158/1538-7445.am2023-448,Abstract 448: Computational discovery and experimental validation of splicing-derived neoantigens,journal-article
10.1158/1538-7445.am2023-5774,Abstract 5774: Small cell lung cancer subtype plasticity is regulated by KDM6A,journal-article
10.1158/1538-7445.am2023-6275,Abstract 6275: DW91170: A novel potent EZH1/2 dual inhibitor for lymphoma treatment,journal-article
10.1158/1538-7445.am2023-5148,Abstract 5148: Interrogating immuno-oncological interactions in the tumor microenvironment,journal-article
10.1158/1538-7445.am2023-1798,Abstract 1798: ALDH inhibition as modulator of ovarian tumor associated immune cells,journal-article
10.1158/1538-7445.am2023-1521,Abstract 1521: Unlocking the therapeutic index of highly potent site-specific ADCs in solid tumors,journal-article
10.1158/1538-7445.am2023-5755,"Abstract 5755: TP63 fusions drive enhancer rewiring, lymphomagenesis, and dependence on EZH2",journal-article
10.1158/1538-7445.am2023-2329,Abstract 2329: Disulfiram metabolite modulates NK and T cell cytotoxicity against metastatic colorectal cancer through tumor derived NKG2D ligands,journal-article
10.1158/1538-7445.am2023-3110,"Abstract 3110: Design, synthesis, and biological evaluation of transducin β-like protein 1 (TBL1) degraders",journal-article
10.1158/1538-7445.am2023-1043,Abstract 1043: Liquid biopsy signature combining copy number instability and mutant <i>KRAS</i> detection is associated with survival for patients with metastatic pancreatic cancer,journal-article
10.1158/1538-7445.am2023-6509,"Abstract 6509: Panel of CD-34, CD-105 &amp; vimentin in immunohistochemical &amp; histomorphometric analysis for prognostic evaluation of oral potentially malignant lesions",journal-article
10.1158/1538-7445.am2023-1489,Abstract 1489: Overexpression of ribosomal L22-like1 (RPL22L1) enhances cancer stem cell properties and promotes tumor progression in hepatocellular carcinoma (HCC),journal-article
10.1158/1538-7445.am2023-6421,Abstract 6421: Molecular profiles and single cell analysis identify immunogenic pancreatic ductal adenocarcinoma (iPDAC),journal-article
10.1158/1538-7445.am2023-4037,Abstract 4037: Doxazosin exerts anti-metastatic potential in triple-negative breast cancer via impairment of cancer stem-like features,journal-article
10.1158/1538-7445.am2023-5022,Abstract 5022: Atypical protein kinase C inhibitors abrogate malignant breast cancer,journal-article
10.1158/1538-7445.am2023-4317,Abstract 4317: Comparison of Single-Molecule Flow (SiM-Flow) and qRT-PCR for detection of plasma miR-375 and miR-1290 in metastatic castrate-resistant prostate cancer (mCRPC),journal-article
10.1158/1538-7445.am2023-2445,Abstract 2445: PPM1G enhances hepatocellular carcinoma stemness via interacting with YBX1,journal-article
10.1158/1538-7445.am2023-2805,Abstract 2805: Pharmacogenomic platform using patient-derived cells to delineate tumor heterogeneity and therapeutic response of refractory lung cancer,journal-article
10.1158/2159-8290.cd-13-8-iti,Highlighted research articles,journal-article
10.1158/1538-7445.am2023-2061,Abstract 2061: Protein network analysis uncovers a poor-survival subtype in multiple myeloma,journal-article
10.1158/1538-7445.am2023-1169,Abstract 1169: Genomic evolution of pancreatic cancer at single-cell resolution,journal-article
10.1158/1538-7445.am2023-sy31-02,Abstract SY31-02: Determinants of hypoxia in pancreatic cancer and identification of ULK1 as a potential therapeutic target,journal-article
10.1158/1538-7445.am2023-4485,"Abstract 4485: JPI-547, a novel dual inhibitor of PARP 1/2 and tankyrase 1/2 overcomes olaparib resistance in BRCA 1/2 mutant ovary and breast cancer preclinical model",journal-article
10.1158/1538-7445.am2023-1421,Abstract 1421: Targeting ASPM suppresses the tumorigenicity of human hepatocellular carcinoma cells via ASPM-TPX2 axis disruption and result in increased chromosome segregation error,journal-article
10.1158/1078-0432.ccr-29-5-hi,Selected Articles from This Issue,journal-article
10.1158/1538-7445.kidney23-b031,Abstract B031: Effect of macrophage inflammatory response and <i>VHL</i> mutation status on the development of clear cell renal carcinoma,journal-article
10.1158/2159-8290.cd-nd2023-0007,"Q&amp;A: Philip Greenberg on T Cells, IO's Future",journal-article
10.1158/1538-7445.kidney23-a020,Abstract A020: Calcitonin receptor-like receptor is expressed in blood vessels in clear cell renal cell carcinoma and upregulated in endothelial cells co-cultured with tumor cells,journal-article
10.1158/2159-8290.cd-nb2023-0061,"AI-Supported Mammography “Safe,” Cuts Workload",journal-article
10.1158/1538-7445.am2023-3772,Abstract 3772: The association of androgen receptor with microRNA expression in triple-negative breast cancer,journal-article
10.1158/2159-8290.cd-rw2023-117,Mutation-Driven Alveolar Cell Reprogramming Dictates Lung Cancer Progression,journal-article
10.1158/2159-8290.cd-rw2023-118,Succinyl-CoA and Cobalamin Are Biomarkers That Improve Anal Cancer Screening,journal-article
10.1158/2159-8290.cd-rw2023-110,Human Tumor Cells Display an Oncogene-like Addiction to Aneuploidy,journal-article
10.1158/1557-3265.aacrahns23-po-095,Abstract PO-095: TGF-β carrying exosomes in plasma of HNSCC as potential biomarkers of disease progression in patients with HNSCC,journal-article
10.1158/1538-7445.am2023-129,Abstract 129: Determine the genetic similarity of synchronous endometrial and ovarian cancers with variants in polyguanine sequences,journal-article
10.1158/1538-7445.am2023-1588,Abstract 1588: Using glyco-engineered cells with flexible expression of tumor-associated carbohydrates for the generation of highly tumor-specific antibodies,journal-article
10.1158/1538-7445.am2023-4627,Abstract 4627: Immune profiling of immunotherapy and adjuvant chemotherapy pretreatment NSCLC tissues by CODEX,journal-article
10.1158/1538-7445.am2023-3263,Abstract 3263: Implications for cancer viroimmunotherapy: a new adenovirus capsid sensor,journal-article
10.1158/1538-7445.am2023-5445,Abstract 5445: Segmentation-free analysis of multiplexed images with unbiased spatial analytics and explainable AI for predicting disease outcomes,journal-article
10.1158/1538-7445.am2023-2912,Abstract 2912: High-throughput screening and single-cell transcriptomics identify synergies between oncology drugs and natural killer cell immunotherapy,journal-article
10.1158/1538-7445.am2023-4173,Abstract 4173: Lipidome of mammographic breast density in premenopausal women,journal-article
10.1158/1538-7445.am2023-1714,Abstract 1714: <i>CRACD/KIAA1211</i> loss drives cell plasticity and immune evasion of small cell lung cancer,journal-article
10.1158/1538-7445.am2023-186,Abstract 186: <i>Cellos</i>: High-throughput deconvolution of 3D organoid dynamics at cellular resolution for cancer pharmacology,journal-article
10.1158/1538-7445.am2023-2737,Abstract 2737: A gene therapy with a novel PD-L1 inhibitory peptide secretory gene inhibits the growth of colon carcinoma in mice,journal-article
10.1158/1538-7445.am2023-2892,Abstract 2892: A SREBF2-dependent genetic program drives a novel immunotolerant dendritic cell population that supports cancer progression,journal-article
10.1158/1538-7445.am2023-2026,Abstract 2026: Comprehensive metabolic flux analysis on triple-negative breast cancer shows potential collaterally lethal targets related to the serine pathway,journal-article
10.1158/1538-7755.disp22-a012,Abstract A012: The effect of neighborhood deprivation on colorectal cancer patients in Louisiana: A multilevel study,journal-article
10.1158/1538-7755.disp22-a037,Abstract A037: Exploring disparities in the provision of child life legacy and bereavement services at SJCRH: Decedent cohort review,journal-article
10.1158/1538-7755.disp22-c107,Abstract C107: Racial differences in associations between chemical exposures and cancer-specific mortality,journal-article
10.1158/1538-7755.disp22-ia015,Abstract IA015: The Alaska Native Tumor Registry: Fifty years of cancer surveillance data for Alaska Native people,journal-article
10.1158/1538-7755.disp22-b074,Abstract B074: Evaluating nursing knowledge and readiness in providing care for post-9/11 veterans in civilian healthcare settings: A quality improvement project,journal-article
10.1158/1538-7755.disp22-a038,Abstract A038: Racial disparities in health-related quality of life among cancer survivors in the United States,journal-article
10.1158/1538-7755.disp22-b078,Abstract B078: Implementing a transdisciplinary framework to build capacity for complex collaboration among academic and non-academic partners,journal-article
10.1158/1538-7445.am2023-1721,"Abstract 1721: Dual targeting of JAK2 and TrkA inhibits breast cancer cell stemness, enhances apoptosis, and delays tumor growth of triple-negative and HER2-enriched breast cancers",journal-article
10.1158/1538-7445.am2023-3805,Abstract 3805: Revealing the role of microRNAs in the emergence of cancer stem cell heterogeneity during colorectal cancer progression,journal-article
10.1158/1538-7445.am2023-2857,Abstract 2857: Patient-derived cells (PDCs) and organoids (PDOs) as platforms for screening novel therapeutics for NSCLC,journal-article
10.1158/1538-7445.am2023-2291,Abstract 2291: Dynamics of genomic instability of circulating tumor DNA in pancreatic cancer patients,journal-article
10.1158/1538-7445.am2023-3558,Abstract 3558: Role of FLI portion of EWS::FLI in transcription regulation via modulation of chromatin 3D landscape in Ewing sarcoma,journal-article
10.1158/1538-7445.am2023-132,Abstract 132: The molecular basis of an evolutionary arms race between cancer cells and their host,journal-article
10.1158/1538-7445.am2023-2835,Abstract 2835: Fibroblast activation protein (FAP)-targeted radiotherapy increases tumor CD8+ T cell infiltration and enhances response to PD-1 immune checkpoint blockade,journal-article
10.1158/1538-7445.am2023-523,Abstract 523: Targeting myc-amplified cancers with a novel prodrug inhibiting aurora A kinase,journal-article
10.1158/1538-7445.am2023-5472,Abstract 5472: Utilizing response in immune checkpoint inhibitor treated cohorts improves clinical applicability of neoantigen immunogenicity predictions,journal-article
10.1158/1538-7445.am2023-4992,Abstract 4992: Taxol-elevated PLK1 overcomes BETi-resistant in prostate cancer via triggering phosphorylation-dependent degradation of BRD4,journal-article
10.1158/1538-7445.am2023-2710,Abstract 2710: Developing a novel doppel-targeting antibody-drug conjugate (ADC) for solid cancer,journal-article
10.1158/1538-7445.am2023-2181,Abstract 2181: Treatment-free remission after discontinuation of ALK tyrosine kinase inhibitors (TKIs) in patients with ALK-positive anaplastic large cell lymphoma (ALCL),journal-article
10.1158/1538-7445.am2023-65,Abstract 65: HIRA is a master regulator of the proliferation-to-dormancy switch in breast cancer,journal-article
10.1158/1538-7445.am2023-1005,Abstract 1005: LINE-1 hypomethylation is associated with poor outcomes in locoregionally advanced oropharyngeal cancer,journal-article
10.1158/1538-7445.am2023-1457,Abstract 1457: PDEF restricts prostate cancer cellular plasticity in part by modulating YAP1/TAZ-TEAD transcriptional network,journal-article
10.1158/1538-7445.am2023-4939,"Abstract 4939: Combinatorial approach using covalent menin inhibitor, BMF-219, and/or covalent FLT3 inhibitor, BMF-500, with MEK or BCL2 blockade potentiates therapeutic use in AML",journal-article
10.1158/1538-7445.am2023-6584,"Abstract 6584: Potential carcinogenic effects of electronic nicotine delivery systems through epigenetic reprogramming in oral, brain, and lung stem cells",journal-article
10.1158/1538-7445.am2023-43,Abstract 43: Application of MiniPDX® in clinical indication identification and anti-tumor drug development,journal-article
10.1158/1538-7445.am2023-6685,Abstract 6685: Targeted liquid biopsy mutation profiling and genome-wide cfDNA copy-number landscape in 3000 samples from six major cancer indications,journal-article
10.1158/1538-7445.am2023-3734,Abstract 3734: Neuroendocrine differentiation (ND) in sensitivity of neuroendocrine tumor (NET) cells to ONC201/TIC10 cancer therapeutic,journal-article
10.1158/1538-7445.am2023-1042,Abstract 1042: Analytical validation of a liquid biopsy test using cell-free circulating tumor DNA for mutational profiling,journal-article
10.1158/1538-7445.am2023-5917,Abstract 5917: Development of a medium-to-high throughput organoid-bacteria co-culture platform for the assessment of host pathogen interaction,journal-article
10.1158/1538-7445.am2023-5904,Abstract 5904: Intra-tumor microbes identified by RNAseq associated with response to immune checkpoint blockade in metastatic melanoma,journal-article
10.1158/1538-7445.am2023-2525,Abstract 2525: Analyzing the role of MDMX for regulating cell death in prostate cancer cells,journal-article
10.1158/1538-7445.am2023-838,Abstract 838: Development of cationic polypeptide-based adjuvants for cancer immunotherapy,journal-article
10.1158/1538-7445.am2023-1565,Abstract 1565: Targeting of KIF11 and AURKA to improve outcomes in Ewing sarcoma,journal-article
10.1158/1538-7445.am2023-2468,Abstract 2468: Overcoming the leptomeningeal seeding of medulloblastoma by targeting HSP70,journal-article
10.1158/1538-7445.am2023-6742,Abstract 6742: Genomic profiling and sites of metastasis in non-small cell lung cancer (NSCLC),journal-article
10.1158/1538-7445.am2023-6053,Abstract 6053: Sulfation is required for prostate cancer xenograft tumor formation but is dispensable for cell viability<i>in vitro</i>,journal-article
10.1158/1538-7445.am2023-5048,Abstract 5048: Combatting pancreatic cancer stem cells by novel titanium peroxides nanoparticles combined with X-ray radiation,journal-article
10.1158/1538-7445.am2023-6375,Abstract 6375: Transcriptomic signatures in melanoma lymph node metastasis that relate to immune oncology treatment,journal-article
10.1158/1538-7445.am2023-335,Abstract 335: Ubiquitin Specific Peptidase 37<i>promotes Osteosarcoma oncogenesis by interacting with PCNA and impacting constitutive replication fork movement.</i>,journal-article
10.1158/1538-7445.am2023-3370,Abstract 3370: Liquid biopsy approaches to determine tumor cell heterogeneity in advanced prostate cancer,journal-article
10.1158/1538-7445.am2023-3464,Abstract 3464: Dynamics of resident memory (Trm) cell responses between skin and draining lymph nodes during primary and recall responses to melanoma,journal-article
10.1158/1538-7445.am2023-6675,Abstract 6675: Integration of associations of immune profiles in peripheral blood and tumor microenvironment with bladder cancer outcomes,journal-article
10.1158/1538-7445.am2023-3891,Abstract 3891: Epigenetic rewiring promotes antiandrogen resistance and metastasis via heterogenous oncogenic drivers in prostate cancer,journal-article
10.1158/1538-7445.am2023-4336,Abstract 4336: Automation of proximity ligation immunoassay for interaction between PDL1 and PD1 detection in the tumor microenvironment using microfluidic based system,journal-article
10.1158/1541-7786.mcr-21-10-hi,Selected Articles from This Issue,journal-article
10.1158/2159-8290.cd-rw2023-104,Shattered Chromosomes Undergo Mitotic Tethering during Chromothripsis,journal-article
10.1158/2159-8290.cd-rw2023-096,"PARADIGM Identifies Associations between Drugs, the Microbiome, and Mortality",journal-article
10.1158/1538-7445.sabcs22-pd12-02,"Abstract PD12-02: PD12-02 Obesity is associated with poor breast cancer prognosis, particularly among women with low socioeconomic position",journal-article
10.1158/1538-7445.sabcs22-p2-14-16,Abstract P2-14-16: Breast surgery for metastatic breast cancer: a Cochrane systematic review,journal-article
10.1158/1538-7445.sabcs22-p6-05-45,Abstract P6-05-45: Providing Educational Resources during the Pandemic for Advanced Breast Cancer Patients,journal-article
10.1158/1538-7445.sabcs22-p1-12-01,"Abstract P1-12-01: Impact of Anti-Estrogen Therapy on Early Vascular Referrals, Tests and Medications in Premenopausal Women with Operable Breast Cancer",journal-article
10.1158/1538-7445.sabcs22-p1-01-03,Abstract P1-01-03: The Impact of Comorbid HIV infection on Neoadjuvant and Adjuvant Chemotherapy Relative Dose Intensity in South African Breast Cancer Patients,journal-article
10.1158/1538-7445.sabcs22-p6-02-11,Abstract P6-02-11: Implementation of multigene panel testing in triple-negative breast cancer. The PERSONA-breast trial,journal-article
10.1158/1538-7445.sabcs22-p6-01-44,Abstract P6-01-44: Alteration of DNA methylation landscape in breast patients treated with adjuvant chemotherapy,journal-article
10.1158/1538-7445.sabcs22-ed11-2,Abstract ED11-2: HER2 positive breast cancer,journal-article
10.1158/1538-7445.sabcs22-p1-09-07,Abstract P1-09-07: Omission of Axillary Surgery for Ipsilateral Breast Tumor Recurrence with Negative Nodes after Previous Breast-Conserving Surgery: Is It Oncologically Safe?,journal-article
10.1158/1538-7445.sabcs22-p1-04-15,"Abstract P1-04-15: Clinical application of 21-gene breast-cancer assay (Oncotype DX) in early hormone-receptor–positive, human epidermal growth factor receptor 2 (HER2)–negative breast cancer with Lymph-Node-Positive Disease",journal-article
10.1158/1538-7445.sabcs22-p4-07-11,Abstract P4-07-11: Disparities in the uptake of telemedicine and implications for clinical trial enrollment in breast cancer patients,journal-article
10.1158/1538-7445.sabcs22-p5-14-03,Abstract P5-14-03: Clonal hematopoiesis of indeterminate potential after (neo)adjuvant chemotherapy versus endocrine therapy for early breast cancer: the CIRCE-eBC prospective cohort study,journal-article
10.1158/1538-7445.sabcs22-p4-06-08,Abstract P4-06-08: HER2-protein expression is a predictive marker for treatment response in patients with HER2-positive breast cancer who received neoadjuvant chemotherapy with dual HER2-blockade,journal-article
10.1158/1538-7445.sabcs22-p6-05-55,Abstract P6-05-55: Financial Toxicity Outcomes on a Phase I 5-fraction Partial Breast Irradiation Protocol for Early Stage Breast Cancer,journal-article
10.1158/1538-7445.sabcs22-p3-05-29,Abstract P3-05-29: Use of Bioimpedance Spectroscopy as a Surrogate for Bone Mineral Content in Oncology Patients: Practical Application of the SOZO Device,journal-article
10.1158/1538-7445.sabcs22-p2-06-04,Abstract P2-06-04: Effects of BMI velocity on outcomes in patients with metastatic breast cancer in the Dallas Metastatic Breast Cancer Study,journal-article
10.1158/1538-7445.sabcs22-p4-01-43,"Abstract P4-01-43: PyrotInib in combination with Capecitabine for trasTUzumab-REsistant, HER2-positive advanced breast cancer (PICTURE): a multicenter phase 2 trial",journal-article
10.1158/1538-7445.sabcs22-p2-21-04,Abstract P2-21-04: The tumor immune microenvironment composition and prognostic value in breast cancer during pregnancy is dynamic during the gestation period,journal-article
10.1158/1538-7445.sabcs22-p6-12-04,Abstract P6-12-04: An Inducible Lineage Tracing System for the Identification of Tumor-Initiating Cells,journal-article
10.1158/1538-7445.sabcs22-p2-03-20,Abstract P2-03-20: Clinical profiling and comprehensive analysis of candidate genes related to breast cancer estrogen receptor intratumour heterogeneity,journal-article
10.1158/1538-7445.sabcs22-p4-02-09,Abstract P4-02-09: Evaluation of the Automated Liquid Biopsy-Breast Cancer Methylation (LBx-BCM) Cartridge Assay for Predicting Early Disease Progression and Survival: TBCRC-005 Prospective Trial,journal-article
10.1158/1538-7445.sabcs22-p5-01-03,Abstract P5-01-03: Evaluation of novel diagnostic kits using the semi-dry dot-blot method combined with an automatic reader for detecting metastases in sentinel lymph nodes of patients with breast cancer: a multi-center prospective study,journal-article
10.1158/1538-7445.sabcs22-ot1-10-01,"Abstract OT1-10-01: Treatment with Tucatinib in addition to Pertuzumab and Trastuzumab in patients with HER2-positive metastatic breast cancer (HER2+ MBC) after local therapy of isolated brain progression: InTTercePT, a UCBG/GINECO study",journal-article
10.1158/1538-7445.sabcs22-p3-07-22,Abstract P3-07-22: Presurgical Trial of Metformin plus Atorvastatin in Women with Operable Breast Cancer,journal-article
10.1158/1538-7445.sabcs22-p5-07-09,Abstract P5-07-09: Fatigue in patients with locally advanced or metastatic breast cancer undergoing single-agent taxane-based chemotherapy: de novo versus relapsed,journal-article
10.1158/1538-7445.sabcs22-p2-11-12,"Abstract P2-11-12: Pattern of distant relapse according to intrinsic molecular subtype in patients with HER2-positive breast cancer: a combined analysis of ShortHER, CherLOB, and two institutional cohorts",journal-article
10.1158/1538-7445.sabcs22-p4-03-41,Abstract P4-03-41: Prospective observational study of breast cancer patients during the cycle of chemotherapy with taxanes: evaluation of the incidence and prevalence of peripheral neuropathy,journal-article
10.1158/1538-7445.sabcs22-pd16-05,Abstract PD16-05: Systemic staging in breast cancer patients receiving neoadjuvant chemotherapy,journal-article
10.1158/1538-7445.sabcs22-pd7-05,Abstract PD7-05: Survival of patients with brain metastases at initial breast cancer diagnosis over the last decade,journal-article
10.1158/1538-7445.sabcs22-p1-05-04,Abstract P1-05-04: Physician Practice Patterns of Breast Imaging After Treatment: Survey of Real-World Practice,journal-article
10.1158/1538-7445.sabcs22-pd14-09,Abstract PD14-09: PD14-09 The effect of timing of TP53 genetic testing on treatment and outcomes among women with Li-Fraumeni syndrome and breast cancer,journal-article
10.1158/1538-7445.sabcs22-p4-08-16,Abstract P4-08-16: Selective Androgen Receptor Modulators in combination with CDK4/6 inhibitors demonstrate anti-cancer activity in preclinical treatment resistant ER+AR+ breast cancer models,journal-article
